"rxddrgid","rxddrug","rxdingfl","rxddci1a","rxddci1b","rxddci1c","rxddci2a","rxddci2b","rxddci2c","rxddci3a","rxddci3b","rxddci3c","rxddci4a","rxddci4b","rxddci4c","rxdici1a","rxdici1b","rxdici1c","rxdici2a","rxdici2b","rxdici2c","rxdici3a","rxdici3b","rxdici3c","rxdici4a","rxdici4b","rxdici4c","rxdici5a","rxdici5b","rxdici5c","rxdici6a","rxdici6b","rxdici6c","rxddcn1a","rxddcn1b","rxddcn1c","rxddcn2a","rxddcn2b","rxddcn2c","rxddcn3a","rxddcn3b","rxddcn3c","rxddcn4a","rxddcn4b","rxddcn4c","rxdicn1a","rxdicn1b","rxdicn1c","rxdicn2a","rxdicn2b","rxdicn2c","rxdicn3a","rxdicn3b","rxdicn3c","rxdicn4a","rxdicn4b","rxdicn4c","rxdicn5a","rxdicn5b","rxdicn5c","rxdicn6a","rxdicn6b","rxdicn6c"
"d00071","FLUCONAZOLE",1,1,4,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","AZOLE ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","AZOLE ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00072","CEFIXIME",1,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00073","CEFPROZIL",1,1,9,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","SECOND GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","SECOND GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00074","CEFOPERAZONE",1,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00075","PROCAINAMIDE",1,40,46,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,46,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","GROUP I ANTIARRHYTHMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","GROUP I ANTIARRHYTHMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00078","DIDANOSINE",1,1,7,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","NRTIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","NRTIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00079","CYCLOSPORINE",1,254,104,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,104,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMMUNOLOGIC AGENTS","IMMUNOSUPPRESSIVE AGENTS","CALCINEURIN INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMMUNOLOGIC AGENTS","IMMUNOSUPPRESSIVE AGENTS","CALCINEURIN INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00080","CEFADROXIL",1,1,9,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","FIRST GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","FIRST GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00081","CEFACLOR",1,1,9,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","SECOND GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","SECOND GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00083","VALPROIC ACID",1,57,64,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,64,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","FATTY ACID DERIVATIVE ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","FATTY ACID DERIVATIVE ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00084","PREDNISOLONE",1,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00085","RIBAVIRIN",1,1,7,229,122,130,407,NA,NA,NA,NA,NA,NA,1,7,229,122,130,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","PURINE NUCLEOSIDES","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","PURINE NUCLEOSIDES","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00086","AMANTADINE",1,1,7,228,57,66,276,NA,NA,NA,NA,NA,NA,1,7,228,57,66,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","ADAMANTANE ANTIVIRALS","CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS",NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","ADAMANTANE ANTIVIRALS","CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00087","AMIKACIN",1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","AMINOGLYCOSIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","AMINOGLYCOSIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00088","AMOXICILLIN",1,1,13,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","AMINOPENICILLINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","AMINOPENICILLINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00089","AMOXICILLIN; CLAVULANATE",2,1,13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,224,1,13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","PENICILLINS/BETA-LACTAMASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","AMINOPENICILLINS","ANTI-INFECTIVES","PENICILLINS","PENICILLINS/BETA-LACTAMASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00091","AZITHROMYCIN",1,1,11,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","MACROLIDE DERIVATIVES","MACROLIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","MACROLIDE DERIVATIVES","MACROLIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00095","CEFPODOXIME",1,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","THIRD GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00096","CEPHALEXIN",1,1,9,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","FIRST GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","FIRST GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00097","CLARITHROMYCIN",1,1,11,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","MACROLIDE DERIVATIVES","MACROLIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","MACROLIDE DERIVATIVES","MACROLIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00098","DAPSONE",1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","LEPROSTATICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","LEPROSTATICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00100","GRISEOFULVIN",1,1,4,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","MISCELLANEOUS ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","MISCELLANEOUS ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00101","ISONIAZID",1,1,6,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTITUBERCULOSIS AGENTS","HYDRAZIDE DERIVATIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTITUBERCULOSIS AGENTS","HYDRAZIDE DERIVATIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00102","ITRACONAZOLE",1,1,4,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","AZOLE ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","AZOLE ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00103","KETOCONAZOLE",1,1,4,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","AZOLE ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIFUNGALS","AZOLE ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00105","LORACARBEF",1,1,9,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","SECOND GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","CEPHALOSPORINS","SECOND GENERATION CEPHALOSPORINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00106","METHENAMINE",1,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00108","METRONIDAZOLE",1,1,2,NA,1,12,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","AMEBICIDES",NA,"ANTI-INFECTIVES","MISCELLANEOUS ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","AMEBICIDES",NA,"ANTI-INFECTIVES","MISCELLANEOUS ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00110","MINOCYCLINE",1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","TETRACYCLINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","TETRACYCLINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00112","NITROFURANTOIN",1,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00113","NORFLOXACIN",1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00114","OFLOXACIN",1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00115","OXACILLIN",1,1,13,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","PENICILLINASE RESISTANT PENICILLINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","PENICILLINASE RESISTANT PENICILLINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00116","PENICILLIN",1,1,13,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","NATURAL PENICILLINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","PENICILLINS","NATURAL PENICILLINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00117","PYRAZINAMIDE",1,1,6,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTITUBERCULOSIS AGENTS","MISCELLANEOUS ANTITUBERCULOSIS AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTITUBERCULOSIS AGENTS","MISCELLANEOUS ANTITUBERCULOSIS AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00119","SULFAMETHOXAZOLE",1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00120","SULFISOXAZOLE",1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00123","TRIMETHOPRIM",1,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00124","SULFAMETHOXAZOLE; TRIMETHOPRIM",2,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","SULFONAMIDES",NA,"ANTI-INFECTIVES","URINARY ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00125","VANCOMYCIN",1,1,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","GLYCOPEPTIDE ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","GLYCOPEPTIDE ANTIBIOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00127","ZALCITABINE",1,1,7,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","NRTIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","NRTIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00128","ACEBUTOLOL",1,40,46,386,40,47,274,NA,NA,NA,NA,NA,NA,40,46,386,40,47,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","GROUP II ANTIARRHYTHMICS","CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, CARDIOSELECTIVE",NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","GROUP II ANTIARRHYTHMICS","CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, CARDIOSELECTIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00129","DIAZOXIDE",1,40,41,NA,358,293,NA,NA,NA,NA,NA,NA,NA,40,41,NA,358,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","AGENTS FOR HYPERTENSIVE EMERGENCIES",NA,"METABOLIC AGENTS","GLUCOSE ELEVATING AGENTS",NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","AGENTS FOR HYPERTENSIVE EMERGENCIES",NA,"METABOLIC AGENTS","GLUCOSE ELEVATING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00130","GUANABENZ",1,40,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00131","GUANETHIDINE",1,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00132","HYDRALAZINE",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00133","METHYLDOPA",1,40,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00134","METOPROLOL",1,40,47,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, CARDIOSELECTIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, CARDIOSELECTIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00135","MINOXIDIL",1,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d00137","PINDOLOL",1,40,47,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, NON-CARDIOSELECTIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","BETA BLOCKERS, NON-CARDIOSELECTIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
