"seqn","indfmmpi","indfmmpc","inq300","ind310"
132934,NA,2,9,NA
132935,NA,NA,NA,NA
132936,3.53,3,2,1
132937,NA,3,1,NA
132938,5,3,1,NA
132939,NA,3,1,NA
132940,0.31,1,2,1
132941,4.8,3,1,NA
132942,3.24,3,2,1
132943,2.11,3,7,NA
132944,1.71,2,2,3
132945,5,3,1,NA
132946,NA,NA,NA,NA
132947,5,3,2,2
132948,4.66,3,2,4
132949,4,3,1,NA
132950,1.81,2,1,NA
132951,NA,9,2,1
132952,NA,3,1,NA
132953,2.43,3,2,5
132954,NA,3,2,1
132955,NA,NA,NA,NA
132956,0,1,2,1
132957,NA,2,9,NA
132958,2.47,3,1,NA
132959,1.29,1,2,3
132960,3.01,3,1,NA
132961,1.77,2,1,NA
132962,2.18,3,2,1
132963,NA,NA,NA,NA
132964,5,3,1,NA
132965,4,3,1,NA
132966,NA,NA,NA,NA
132967,1.56,2,2,4
132968,1.28,1,2,4
132969,5,3,1,NA
132970,3.6,3,1,NA
132971,2.56,3,1,NA
132972,NA,1,1,NA
132973,3.07,3,1,NA
132974,0.23,1,2,1
132975,2.05,3,1,NA
132976,NA,NA,NA,NA
132977,5,3,1,NA
132978,5,3,1,NA
132979,4.26,3,2,1
132980,0.26,1,2,1
132981,NA,NA,NA,NA
132982,NA,1,2,77
132983,1.3,1,2,1
132984,1.09,1,2,1
132985,1.31,2,2,2
132986,1.2,1,2,4
132987,1.99,3,2,1
132988,0.9,1,2,1
132989,1.02,1,2,3
132990,NA,3,1,NA
132991,2.62,3,1,NA
132992,1.97,3,1,NA
132993,4.87,3,1,NA
132994,1.65,2,1,NA
132995,NA,NA,NA,NA
132996,2.22,3,7,NA
132997,1.83,2,2,1
132998,0.39,1,2,1
132999,1.45,2,1,NA
133000,NA,2,2,1
133001,2.06,3,2,1
133002,NA,1,2,1
133003,2.36,3,1,NA
133004,NA,3,7,NA
133005,1.77,2,2,1
133006,0.55,1,2,1
133007,0.45,1,2,1
133008,1.1,1,2,1
133009,5,3,1,NA
133010,1.2,1,9,NA
133011,0.31,1,2,1
133012,NA,NA,NA,NA
133013,NA,1,1,NA
133014,NA,NA,NA,NA
133015,2.83,3,2,2
133016,1.2,1,2,1
133017,1.09,1,2,1
133018,NA,1,2,1
133019,NA,NA,NA,NA
133020,2.12,3,2,2
133021,NA,NA,NA,NA
133022,3.6,3,2,3
133023,5,3,1,NA
133024,2.91,3,1,NA
133025,NA,3,2,1
133026,NA,1,2,1
133027,4.24,3,1,NA
133028,4.94,3,1,NA
133029,NA,NA,NA,NA
133030,NA,NA,NA,NA
133031,4.15,3,2,2
133032,NA,NA,NA,NA
133033,5,3,1,NA
133034,3.28,3,1,NA
133035,3.03,3,1,NA
133036,1.71,2,2,1
133037,5,3,1,NA
133038,NA,7,7,NA
133039,2.34,3,1,NA
133040,4.32,3,1,NA
133041,0.7,1,2,1
133042,5,3,1,NA
133043,5,3,1,NA
133044,1.73,2,2,1
133045,0.68,1,2,1
133046,1.56,2,2,1
133047,NA,NA,NA,NA
133048,4.07,3,1,NA
133049,1.48,2,1,NA
133050,NA,9,9,NA
133051,NA,NA,NA,NA
133052,0,1,2,1
133053,2.47,3,2,1
133054,0.39,1,2,1
133055,4.86,3,2,1
133056,5,3,1,NA
133057,NA,NA,NA,NA
133058,NA,3,1,NA
133059,NA,7,7,NA
133060,2.95,3,1,NA
133061,2.43,3,2,1
133062,1.09,1,2,2
133063,2.08,3,2,1
133064,0.96,1,2,1
133065,NA,NA,NA,NA
133066,3.71,3,1,NA
133067,1.48,2,2,1
133068,0.82,1,2,3
133069,1.48,2,2,2
133070,1.34,2,2,1
133071,2.43,3,1,NA
133072,1.09,1,2,1
133073,NA,3,1,NA
133074,3.6,3,1,NA
133075,NA,1,2,1
133076,0.97,1,2,1
133077,5,3,1,NA
133078,3.35,3,2,1
133079,5,3,1,NA
133080,5,3,1,NA
133081,4.48,3,1,NA
133082,2,3,1,NA
133083,1.79,2,2,2
133084,NA,NA,NA,NA
133085,NA,NA,NA,NA
133086,NA,NA,NA,NA
133087,5,3,1,NA
133088,1.03,1,2,1
133089,1.73,2,2,1
133090,5,3,1,NA
133091,4.53,3,1,NA
133092,NA,3,1,NA
133093,5,3,1,NA
133094,NA,NA,NA,NA
133095,2.21,3,2,1
133096,5,3,1,NA
133097,1.01,1,2,1
133098,2.65,3,1,NA
133099,NA,1,2,1
133100,1.5,2,2,2
133101,1.51,2,2,1
133102,5,3,1,NA
133103,NA,3,1,NA
133104,NA,2,2,1
133105,1.82,2,2,4
133106,4.94,3,1,NA
133107,0.35,1,2,1
133108,2.61,3,1,NA
133109,2.08,3,2,1
133110,0.77,1,2,1
133111,2.98,3,1,NA
133112,4.15,3,1,NA
133113,0.33,1,2,1
133114,NA,3,2,1
133115,4.8,3,1,NA
133116,NA,NA,NA,NA
133117,1.66,2,7,NA
133118,0.52,1,2,2
133119,0.53,1,2,1
133120,1.88,3,1,NA
133121,NA,NA,NA,NA
133122,5,3,1,NA
133123,4.26,3,1,NA
133124,NA,2,1,NA
133125,5,3,1,NA
133126,1.81,2,2,1
133127,5,3,1,NA
133128,1.77,2,1,NA
133129,1.38,2,9,NA
133130,NA,3,1,NA
133131,NA,2,2,2
133132,NA,NA,NA,NA
133133,NA,NA,NA,NA
133134,1.65,2,2,1
133135,NA,1,2,1
133136,NA,3,1,NA
133137,NA,7,2,77
133138,2.73,3,1,NA
133139,NA,3,1,NA
133140,4.88,3,1,NA
133141,NA,3,2,3
133142,2,3,1,NA
133143,NA,1,2,1
133144,5,3,1,NA
133145,0.91,1,1,NA
133146,5,3,1,NA
133147,2.47,3,1,NA
133148,NA,NA,NA,NA
133149,4.12,3,1,NA
133150,4.69,3,1,NA
133151,4.43,3,1,NA
133152,0.87,1,2,4
133153,1.77,2,2,1
133154,NA,NA,NA,NA
133155,5,3,1,NA
133156,0.75,1,2,1
133157,3.24,3,1,NA
133158,NA,9,7,NA
133159,NA,3,1,NA
133160,5,3,1,NA
133161,NA,NA,NA,NA
133162,NA,NA,NA,NA
133163,2.4,3,1,NA
133164,NA,2,2,1
133165,5,3,1,NA
133166,NA,NA,NA,NA
133167,2.59,3,1,NA
133168,1.71,2,2,1
133169,5,3,1,NA
133170,3.96,3,1,NA
133171,5,3,1,NA
133172,0.55,1,2,1
133173,1.19,1,2,1
133174,NA,9,9,NA
133175,3.28,3,2,1
133176,1.36,2,2,77
133177,1.11,1,9,NA
133178,5,3,1,NA
133179,2,3,2,1
133180,1.08,1,2,1
133181,4.17,3,2,1
133182,NA,NA,NA,NA
133183,NA,1,2,1
133184,NA,2,2,4
133185,3.93,3,1,NA
133186,2.38,3,1,NA
133187,NA,1,2,1
133188,1.33,2,2,1
133189,NA,NA,NA,NA
133190,4.44,3,1,NA
133191,2.25,3,2,1
133192,5,3,2,3
133193,1.12,1,2,1
133194,1.74,2,2,4
133195,0.99,1,2,1
133196,0.34,1,2,1
133197,1.31,2,2,3
133198,0.11,1,2,1
133199,NA,3,1,NA
133200,NA,NA,NA,NA
133201,1.49,2,2,3
133202,5,3,2,4
133203,NA,7,7,NA
133204,2.13,3,7,NA
133205,1.04,1,2,1
133206,3.28,3,2,1
133207,3.62,3,1,NA
133208,3.86,3,1,NA
133209,4.87,3,1,NA
133210,NA,NA,NA,NA
133211,NA,3,1,NA
133212,0.71,1,2,1
133213,NA,3,1,NA
133214,3.03,3,1,NA
133215,5,3,1,NA
133216,3.93,3,1,NA
133217,1.07,1,1,NA
133218,3.28,3,1,NA
133219,NA,3,7,NA
133220,5,3,1,NA
133221,3.09,3,1,NA
133222,NA,9,9,NA
133223,NA,NA,NA,NA
133224,NA,NA,NA,NA
133225,0.74,1,2,1
133226,NA,NA,NA,NA
133227,NA,NA,NA,NA
133228,3.65,3,1,NA
133229,NA,7,2,77
133230,NA,3,2,1
133231,5,3,1,NA
133232,0.46,1,2,1
133233,NA,1,2,1
133234,5,3,2,5
133235,1.15,1,1,NA
133236,2.9,3,1,NA
133237,5,3,1,NA
133238,NA,3,2,2
133239,1.62,2,2,1
133240,NA,NA,NA,NA
133241,1.42,2,2,1
133242,5,3,1,NA
133243,5,3,1,NA
133244,3.23,3,1,NA
133245,NA,NA,NA,NA
133246,3.04,3,1,NA
133247,5,3,1,NA
133248,NA,1,2,1
133249,1.23,1,2,1
133250,2.68,3,2,2
133251,NA,NA,NA,NA
133252,1.34,2,2,3
133253,0.82,1,2,1
133254,5,3,1,NA
133255,NA,3,1,NA
133256,NA,NA,NA,NA
133257,5,3,2,4
133258,0.97,1,2,1
133259,5,3,1,NA
133260,5,3,1,NA
133261,2.34,3,1,NA
133262,0.44,1,2,1
133263,1.6,2,2,1
133264,NA,NA,NA,NA
133265,5,3,1,NA
133266,1.09,1,2,1
133267,1.54,2,2,2
133268,0.82,1,2,2
133269,0,1,2,1
133270,NA,NA,9,NA
133271,2.16,3,2,1
133272,NA,NA,NA,NA
133273,2.27,3,2,4
133274,2.73,3,1,NA
133275,NA,NA,NA,NA
133276,1.38,2,2,2
133277,5,3,1,NA
133278,0.66,1,2,1
133279,0.49,1,2,1
133280,2.59,3,2,3
133281,NA,NA,NA,NA
133282,1.48,2,2,2
133283,5,3,1,NA
133284,2.62,3,2,1
133285,4.83,3,1,NA
133286,NA,NA,NA,NA
133287,1.23,1,1,NA
133288,NA,NA,NA,NA
133289,1.19,1,2,1
133290,0.79,1,2,1
133291,5,3,1,NA
133292,3.65,3,1,NA
133293,NA,7,7,NA
133294,1.33,2,2,1
133295,4.37,3,1,NA
133296,3.04,3,1,NA
133297,1.45,2,2,1
133298,5,3,1,NA
133299,0.79,1,2,1
133300,5,3,1,NA
133301,2.9,3,1,NA
133302,5,3,1,NA
133303,5,3,1,NA
133304,NA,NA,NA,NA
133305,4.94,3,1,NA
133306,0.55,1,1,NA
133307,NA,1,2,1
133308,1.54,2,2,1
133309,5,3,1,NA
133310,2.05,3,2,1
133311,5,3,1,NA
133312,1.26,1,1,NA
133313,NA,1,2,4
133314,NA,NA,NA,NA
133315,5,3,1,NA
133316,5,3,1,NA
133317,5,3,1,NA
133318,4.51,3,2,5
133319,2.05,3,1,NA
133320,5,3,1,NA
133321,2.56,3,1,NA
133322,NA,NA,NA,NA
133323,0.92,1,1,NA
133324,3.93,3,1,NA
133325,5,3,1,NA
133326,2.06,3,2,5
133327,5,3,1,NA
133328,0.92,1,2,1
133329,5,3,1,NA
133330,5,3,1,NA
133331,4.59,3,2,1
133332,0.92,1,2,1
133333,NA,NA,NA,NA
133334,5,3,1,NA
133335,2.05,3,1,NA
133336,NA,3,1,NA
133337,4.17,3,1,NA
133338,NA,2,2,1
133339,1.6,2,1,NA
133340,1.37,2,1,NA
133341,1.15,1,2,1
133342,1.38,2,2,1
133343,3.65,3,1,NA
133344,4.13,3,2,4
133345,0.91,1,7,NA
133346,NA,3,1,NA
133347,NA,NA,NA,NA
133348,2.23,3,2,1
133349,NA,NA,NA,NA
133350,5,3,1,NA
133351,1.15,1,2,1
133352,3.08,3,2,3
133353,1.51,2,2,1
133354,NA,2,7,NA
133355,NA,1,2,3
133356,2.36,3,2,3
133357,NA,7,7,NA
133358,0.76,1,1,NA
133359,1.34,2,2,1
133360,5,3,1,NA
133361,1.95,3,1,NA
133362,1.16,1,2,1
133363,1.73,2,2,1
133364,NA,NA,NA,NA
133365,3.17,3,1,NA
133366,3.6,3,2,3
133367,1.38,2,2,1
133368,0.79,1,2,1
133369,4.12,3,1,NA
133370,1.98,3,2,2
133371,2.97,3,1,NA
133372,0.81,1,2,1
133373,NA,3,1,NA
133374,5,3,1,NA
133375,0.51,1,2,1
133376,0,1,2,1
133377,1.26,1,2,1
133378,0,1,2,5
133379,2.85,3,1,NA
133380,5,3,1,NA
133381,5,3,1,NA
133382,2.4,3,1,NA
133383,0.57,1,1,NA
133384,NA,NA,NA,NA
133385,NA,NA,NA,NA
133386,0.75,1,2,1
133387,NA,2,2,1
133388,3.52,3,2,1
133389,2.71,3,1,NA
133390,5,3,1,NA
133391,NA,NA,NA,NA
133392,5,3,2,4
133393,5,3,1,NA
133394,0.94,1,1,NA
133395,0.33,1,1,NA
133396,5,3,1,NA
133397,NA,NA,NA,NA
133398,NA,2,2,2
133399,2.65,3,1,NA
133400,0.75,1,2,2
133401,5,3,1,NA
133402,NA,2,2,99
133403,NA,1,2,1
133404,1.71,2,2,3
133405,0.84,1,2,1
133406,5,3,1,NA
133407,1.94,3,1,NA
133408,NA,NA,NA,NA
133409,NA,NA,NA,NA
133410,0.18,1,2,1
133411,1.52,2,2,1
133412,0.72,1,2,1
133413,0,1,2,3
133414,4.87,3,1,NA
133415,1.76,2,2,4
133416,NA,NA,NA,NA
133417,5,3,1,NA
133418,3.55,3,1,NA
133419,NA,3,2,77
133420,NA,2,2,1
133421,3.53,3,2,3
133422,0,1,2,1
133423,3.65,3,1,NA
133424,4.53,3,2,3
133425,2.47,3,2,1
133426,NA,3,1,NA
133427,2.08,3,2,1
133428,1.37,2,2,1
133429,1.34,2,2,1
133430,NA,3,1,NA
133431,1.71,2,1,NA
133432,NA,NA,NA,NA
133433,2.46,3,2,1
133434,NA,NA,NA,NA
133435,5,3,2,2
133436,3.73,3,2,1
133437,NA,NA,NA,NA
133438,1.8,2,2,1
133439,4.56,3,1,NA
133440,1.65,2,2,5
133441,2.13,3,1,NA
133442,1.53,2,2,1
133443,0.95,1,2,1
133444,2,3,2,2
133445,2.03,3,2,1
133446,NA,NA,NA,NA
133447,1.53,2,1,NA
133448,NA,3,7,NA
133449,NA,NA,NA,NA
133450,5,3,1,NA
133451,3.73,3,1,NA
133452,1.25,1,1,NA
133453,5,3,1,NA
133454,0.85,1,2,1
133455,4.53,3,1,NA
133456,1.02,1,2,2
133457,1.12,1,2,1
133458,NA,NA,NA,NA
133459,NA,1,2,1
133460,4.32,3,1,NA
133461,4.26,3,1,NA
133462,4.12,3,2,1
133463,1.43,2,2,1
133464,3.46,3,2,1
133465,2.01,3,1,NA
133466,5,3,1,NA
133467,5,3,1,NA
133468,1.34,2,2,1
133469,1.67,2,2,1
133470,1.82,2,1,NA
133471,1,1,2,1
133472,3.29,3,1,NA
133473,1.08,1,2,1
133474,2.06,3,1,NA
133475,0.66,1,2,1
133476,2.21,3,2,1
133477,5,3,2,2
133478,1.25,1,7,NA
133479,5,3,2,1
133480,2.43,3,2,3
133481,NA,NA,NA,NA
133482,1.05,1,2,1
133483,NA,1,2,1
133484,3.34,3,2,4
133485,NA,1,2,2
133486,2.8,3,2,2
133487,NA,NA,NA,NA
133488,NA,3,1,NA
133489,3.28,3,1,NA
133490,2.08,3,2,2
133491,2.03,3,2,1
133492,5,3,1,NA
133493,1.93,3,2,1
133494,5,3,1,NA
133495,NA,9,2,1
133496,5,3,2,2
133497,0.74,1,2,1
133498,NA,1,2,1
133499,5,3,1,NA
133500,NA,1,2,1
133501,2.81,3,1,NA
133502,NA,1,7,NA
133503,NA,1,2,1
133504,0.41,1,2,1
133505,1.23,1,2,1
133506,5,3,1,NA
133507,1.6,2,2,1
133508,NA,NA,NA,NA
133509,5,3,1,NA
133510,0,1,2,1
133511,5,3,1,NA
133512,NA,NA,NA,NA
133513,1.8,2,2,5
133514,NA,7,1,NA
133515,5,3,1,NA
133516,0.37,1,2,1
133517,1.4,2,2,1
133518,3.01,3,1,NA
133519,1.19,1,2,1
133520,5,3,1,NA
133521,1.67,2,2,1
133522,0.57,1,1,NA
133523,2.8,3,1,NA
133524,2,3,2,2
133525,NA,NA,NA,NA
133526,0.66,1,2,1
133527,4.32,3,1,NA
133528,0.92,1,2,1
133529,1.31,2,2,3
133530,0.94,1,2,1
133531,1.79,2,2,3
133532,1.83,2,2,1
133533,5,3,1,NA
133534,0.65,1,2,1
133535,1.3,1,2,1
133536,1.91,3,1,NA
133537,4.87,3,1,NA
133538,0.85,1,2,1
133539,2.06,3,1,NA
133540,1.21,1,2,1
133541,NA,1,9,NA
133542,0.94,1,2,1
133543,1.37,2,2,1
133544,1.35,2,1,NA
133545,1.41,2,2,3
133546,1.61,2,2,2
133547,5,3,2,2
133548,3.65,3,1,NA
133549,1.98,3,2,1
133550,2.32,3,2,1
133551,1.98,3,1,NA
133552,NA,NA,NA,NA
133553,1.65,2,2,1
133554,4,3,1,NA
133555,5,3,1,NA
133556,1.38,2,1,NA
133557,2.86,3,1,NA
133558,4.83,3,1,NA
133559,2.34,3,2,1
133560,1.97,3,1,NA
133561,1.86,3,2,1
133562,0.1,1,2,1
133563,3.62,3,1,NA
133564,2.9,3,1,NA
133565,0.9,1,2,1
133566,4.94,3,1,NA
133567,3.13,3,1,NA
133568,5,3,1,NA
133569,4.32,3,1,NA
133570,5,3,1,NA
133571,5,3,1,NA
133572,3.7,3,1,NA
133573,5,3,1,NA
133574,NA,3,2,1
133575,NA,NA,NA,NA
133576,5,3,1,NA
133577,NA,1,2,1
133578,5,3,1,NA
133579,5,3,1,NA
133580,NA,9,2,1
133581,4.08,3,2,1
133582,NA,3,1,NA
133583,1.65,2,2,1
133584,2.06,3,2,3
133585,1.79,2,2,2
133586,0.86,1,2,1
133587,1.81,2,2,3
133588,5,3,2,4
133589,1.3,1,2,1
133590,1.1,1,2,5
133591,1,1,2,1
133592,5,3,1,NA
133593,1.37,2,1,NA
133594,0.97,1,2,1
133595,1.73,2,1,NA
133596,5,3,1,NA
133597,5,3,2,3
133598,NA,1,1,NA
133599,0.83,1,2,1
133600,2.29,3,2,1
133601,NA,NA,NA,NA
133602,5,3,1,NA
133603,3.28,3,1,NA
133604,NA,3,2,1
133605,5,3,1,NA
133606,1.81,2,2,2
133607,1.49,2,1,NA
133608,0.71,1,2,2
133609,NA,NA,NA,NA
133610,3.73,3,2,2
133611,1.2,1,2,3
133612,NA,1,2,1
133613,NA,NA,NA,NA
133614,NA,3,7,NA
133615,1.3,1,2,3
133616,NA,1,2,1
133617,0.97,1,2,1
133618,5,3,1,NA
133619,1.49,2,2,3
133620,0.44,1,2,1
133621,NA,7,1,NA
133622,5,3,2,1
133623,1.11,1,2,4
133624,1.83,2,2,3
133625,0.27,1,2,1
133626,4.09,3,2,1
133627,4.24,3,1,NA
133628,NA,NA,NA,NA
133629,1.85,2,2,1
133630,1.94,3,2,3
133631,3.13,3,1,NA
133632,NA,NA,NA,NA
133633,1.35,2,1,NA
133634,NA,2,2,1
133635,5,3,1,NA
133636,NA,1,2,1
133637,5,3,1,NA
133638,0,1,2,1
133639,NA,NA,NA,NA
133640,4.53,3,2,5
133641,NA,NA,NA,NA
133642,0.97,1,2,1
133643,1.67,2,1,NA
133644,NA,NA,NA,NA
133645,0.92,1,2,77
133646,NA,9,2,1
133647,5,3,1,NA
133648,0.03,1,2,1
133649,NA,NA,NA,NA
133650,NA,NA,NA,NA
133651,3.86,3,2,1
133652,NA,NA,NA,NA
133653,5,3,1,NA
133654,1.1,1,1,NA
133655,NA,3,2,1
133656,0.92,1,2,1
133657,1.85,2,2,1
133658,0.69,1,2,1
133659,NA,NA,NA,NA
133660,NA,NA,NA,NA
133661,3.23,3,1,NA
133662,2.09,3,1,NA
133663,NA,NA,NA,NA
133664,0.93,1,2,4
133665,0.69,1,2,1
133666,5,3,1,NA
133667,3.2,3,2,1
133668,5,3,1,NA
133669,0.97,1,2,99
133670,NA,3,1,NA
133671,4.59,3,1,NA
133672,NA,NA,NA,NA
133673,NA,NA,NA,NA
133674,1.49,2,2,1
133675,0.34,1,2,1
133676,NA,9,2,1
133677,1.3,1,2,1
133678,NA,NA,NA,NA
133679,3.24,3,1,NA
133680,0.41,1,2,1
133681,3.44,3,1,NA
133682,NA,NA,NA,NA
133683,0.66,1,2,1
133684,NA,1,2,1
133685,1.75,2,2,1
133686,3.91,3,1,NA
133687,0.48,1,2,1
133688,0.8,1,2,1
133689,0.26,1,2,1
133690,1.32,2,2,1
133691,3.01,3,1,NA
133692,1.98,3,1,NA
133693,4.26,3,1,NA
133694,0.44,1,2,3
133695,NA,9,2,1
133696,0.78,1,1,NA
133697,0.85,1,1,NA
133698,4,3,1,NA
133699,NA,3,1,NA
133700,1.06,1,2,1
133701,5,3,1,NA
133702,0.4,1,1,NA
133703,2.21,3,2,1
133704,3.93,3,7,NA
133705,3.17,3,2,1
133706,0.92,1,2,1
133707,3.05,3,2,3
133708,1.35,2,2,1
133709,0.44,1,2,1
133710,NA,3,1,NA
133711,1.2,1,2,3
133712,0.35,1,2,1
133713,2.65,3,1,NA
133714,3.39,3,1,NA
133715,NA,3,1,NA
133716,NA,NA,NA,NA
133717,NA,3,9,NA
133718,4.59,3,1,NA
133719,2.16,3,1,NA
133720,NA,NA,NA,NA
133721,5,3,1,NA
133722,NA,2,2,1
133723,5,3,1,NA
133724,5,3,2,1
133725,NA,3,1,NA
133726,1.51,2,2,1
133727,5,3,1,NA
133728,1.93,3,2,1
133729,NA,NA,NA,NA
133730,5,3,2,2
133731,2.22,3,2,2
133732,1.45,2,2,1
133733,0.74,1,2,1
133734,0.34,1,2,1
133735,NA,NA,NA,NA
133736,1.16,1,2,1
133737,NA,NA,NA,NA
133738,2.4,3,1,NA
133739,5,3,1,NA
133740,0.98,1,2,1
133741,1.67,2,2,2
133742,0.4,1,1,NA
133743,0,1,2,1
133744,NA,NA,NA,NA
133745,2.19,3,2,3
133746,2.4,3,1,NA
133747,1.93,3,2,1
133748,NA,3,7,NA
133749,0.86,1,2,1
133750,2.62,3,1,NA
133751,1.24,1,1,NA
133752,5,3,2,1
133753,1.65,2,2,4
133754,NA,1,7,NA
133755,0.98,1,2,1
133756,4.64,3,1,NA
133757,1.51,2,2,1
133758,1.48,2,2,1
133759,NA,3,7,NA
133760,0.41,1,1,NA
133761,4.1,3,1,NA
133762,NA,3,1,NA
133763,1.93,3,2,1
133764,NA,NA,NA,NA
133765,2.22,3,1,NA
133766,0.91,1,2,1
133767,1.39,2,2,5
133768,2.73,3,1,NA
133769,1.66,2,7,NA
133770,0.37,1,2,1
133771,NA,NA,NA,NA
133772,NA,7,1,NA
133773,NA,NA,NA,NA
133774,5,3,1,NA
133775,3.16,3,2,1
133776,NA,NA,NA,NA
133777,0,1,2,1
133778,3.28,3,2,99
133779,3.83,3,1,NA
133780,3.14,3,2,3
133781,0.94,1,1,NA
133782,2.59,3,1,NA
133783,1.51,2,2,3
133784,NA,7,1,NA
133785,2.69,3,1,NA
133786,0.13,1,2,1
133787,NA,NA,NA,NA
133788,3.39,3,1,NA
133789,0.66,1,2,1
133790,1.9,3,1,NA
133791,1.55,2,2,5
133792,1.77,2,2,3
133793,0.73,1,2,1
133794,NA,3,1,NA
133795,5,3,2,2
133796,1.38,2,1,NA
133797,NA,NA,NA,NA
133798,4.59,3,1,NA
133799,NA,NA,NA,NA
133800,1.5,2,2,3
133801,NA,NA,NA,NA
133802,NA,NA,NA,NA
133803,2.13,3,2,1
133804,NA,1,2,1
133805,NA,NA,NA,NA
133806,5,3,1,NA
133807,2.61,3,2,4
133808,5,3,1,NA
133809,2.17,3,2,3
133810,3.86,3,1,NA
133811,0.9,1,2,1
133812,NA,9,2,1
133813,4.26,3,1,NA
133814,NA,3,1,NA
133815,NA,NA,NA,NA
133816,1.23,1,2,1
133817,NA,NA,NA,NA
133818,5,3,1,NA
133819,1.4,2,2,1
133820,5,3,1,NA
133821,NA,NA,NA,NA
133822,NA,NA,NA,NA
133823,2.13,3,1,NA
133824,5,3,1,NA
133825,1.3,1,2,1
133826,NA,9,1,NA
133827,2.43,3,1,NA
133828,2.61,3,2,1
133829,5,3,1,NA
133830,NA,2,2,1
133831,NA,3,1,NA
133832,0.81,1,2,1
133833,NA,3,1,NA
133834,NA,NA,NA,NA
133835,1.77,2,2,1
133836,3.47,3,1,NA
133837,0,1,2,5
133838,NA,NA,NA,NA
133839,5,3,1,NA
133840,0.7,1,2,1
133841,1.64,2,2,1
133842,3.13,3,2,1
133843,2.8,3,1,NA
133844,1.33,2,2,1
133845,1.64,2,2,1
133846,2.13,3,7,NA
133847,1.64,2,2,1
133848,5,3,2,3
133849,5,3,1,NA
133850,0.48,1,2,1
133851,2.08,3,2,3
133852,2.65,3,1,NA
133853,NA,2,2,1
133854,1.19,1,2,1
133855,2.34,3,2,1
133856,1.4,2,2,1
133857,2.65,3,2,1
133858,5,3,1,NA
133859,3.01,3,1,NA
133860,0.43,1,2,1
133861,5,3,1,NA
133862,1.63,2,1,NA
133863,NA,NA,NA,NA
133864,NA,9,1,NA
133865,1.94,3,2,1
133866,0.96,1,1,NA
133867,1.85,2,1,NA
133868,4.66,3,2,4
133869,NA,NA,NA,NA
133870,0.25,1,1,NA
133871,NA,NA,NA,NA
133872,0.51,1,2,1
133873,NA,NA,NA,NA
133874,0.92,1,2,1
133875,5,3,1,NA
133876,1.29,1,2,1
133877,0.41,1,2,5
133878,NA,3,1,NA
133879,NA,NA,NA,NA
133880,3.36,3,1,NA
133881,NA,NA,NA,NA
133882,1.51,2,2,1
133883,3.04,3,1,NA
133884,3.39,3,2,5
133885,1.64,2,2,2
133886,3.51,3,1,NA
133887,0.78,1,2,3
133888,4.11,3,1,NA
133889,NA,NA,NA,NA
133890,3.09,3,1,NA
133891,0.78,1,2,1
133892,1.64,2,2,1
133893,1.64,2,2,1
133894,NA,3,1,NA
133895,4,3,1,NA
133896,1.84,2,1,NA
133897,2.75,3,2,5
133898,3.91,3,2,1
133899,5,3,1,NA
133900,2.3,3,1,NA
133901,4.83,3,1,NA
133902,NA,NA,NA,NA
133903,3.86,3,2,1
133904,NA,NA,NA,NA
133905,1.83,2,1,NA
133906,2.65,3,2,1
133907,3.96,3,1,NA
133908,3.5,3,1,NA
133909,0,1,2,1
133910,NA,NA,NA,NA
133911,NA,9,9,NA
133912,2.69,3,2,1
133913,5,3,1,NA
133914,2.33,3,2,3
133915,2.42,3,2,1
133916,5,3,1,NA
133917,NA,9,9,NA
133918,NA,NA,NA,NA
133919,1.71,2,1,NA
133920,0.18,1,2,1
133921,1.93,3,2,2
133922,0.44,1,2,1
133923,0.86,1,2,1
133924,1.51,2,2,1
133925,NA,NA,NA,NA
133926,1.24,1,2,1
133927,NA,NA,NA,NA
133928,NA,1,2,1
133929,4.44,3,1,NA
133930,5,3,1,NA
133931,1.55,2,2,5
133932,2.73,3,1,NA
133933,2.21,3,2,3
133934,5,3,1,NA
133935,NA,NA,NA,NA
133936,NA,2,1,NA
133937,0,1,2,2
133938,0.35,1,2,1
133939,1.81,2,2,2
133940,NA,2,2,1
133941,4,3,1,NA
133942,0.77,1,2,1
133943,0.82,1,2,1
133944,1.1,1,2,1
133945,2.74,3,1,NA
133946,NA,3,7,NA
133947,0.67,1,2,1
133948,5,3,2,4
133949,NA,3,2,1
133950,0,1,2,1
133951,3.96,3,1,NA
133952,2.08,3,1,NA
133953,5,3,1,NA
133954,2.3,3,2,1
133955,1.58,2,1,NA
133956,4,3,1,NA
133957,3.96,3,1,NA
133958,5,3,1,NA
133959,5,3,1,NA
133960,NA,NA,NA,NA
133961,0.81,1,2,1
133962,5,3,1,NA
133963,1.82,2,2,4
133964,2.59,3,1,NA
133965,4.82,3,1,NA
133966,1.64,2,1,NA
133967,NA,7,7,NA
133968,NA,NA,NA,NA
133969,NA,1,2,3
133970,1.17,1,2,2
133971,4.17,3,1,NA
133972,1.28,1,2,1
133973,0.68,1,2,1
133974,3.93,3,2,5
133975,0.87,1,2,1
133976,0.95,1,2,1
133977,NA,3,2,1
133978,5,3,1,NA
133979,0.78,1,2,1
133980,3.55,3,1,NA
133981,NA,1,2,1
133982,4.2,3,1,NA
133983,NA,3,1,NA
133984,0.96,1,1,NA
133985,1.85,2,2,1
133986,5,3,1,NA
133987,NA,3,1,NA
133988,2.34,3,2,2
133989,1.74,2,2,1
133990,NA,7,7,NA
133991,NA,3,2,3
